method,median_F1_2.5,min_F1_2.5,max_F1_2.5,median_F1_5,min_F1_5,max_F1_5,median_F1_10,min_F1_10,max_F1_10,median_F1_15,min_F1_15,max_F1_15,median_F1_20,min_F1_20,max_F1_20,median
ddqc,0.934176626121896,0.894254278728606,0.953302961275626,0.928253515314875,0.848348106365834,0.954679223072395,0.934210756380806,0.881377965550861,0.960872354073124,0.931766800165569,0.872085048010974,0.957871396895787,0.921367181012991,0.867570009033424,0.939070567986231,0.931766800165569
DropletQC,0.976641005400546,0.970333569907736,0.98264195351574,0.974775414329361,0.963822148577741,0.985787379192723,0.955880260461861,0.949297495418448,0.9694872601447,0.943641279754377,0.933518005540166,0.951758481170246,0.916602116967734,0.892697466467958,0.938736131210806,0.955880260461861
ensembleKQC,0.683208229254782,0.178535606820461,0.979531296351231,0.683488484920279,0.221095334685598,0.979579207920792,0.698510203281879,0.17169373549884,0.974538510502864,0.700831895272136,0.185676392572944,0.957483258059492,0.712336110741884,0.236496350364963,0.949455550138144,0.698510203281879
miQC,0.976641005400546,0.970333569907736,0.98264195351574,0.974775414329361,0.963822148577741,0.985787379192723,0.960233640447636,0.951330304996755,0.976213130352046,0.955158591506778,0.947839046199702,0.962666666666667,0.947078218841883,0.93889498719356,0.953187250996016,0.960233640447636
SampleQC,0.812813012183422,0.41876629018245,0.979591836734694,0.808567150330592,0.391941391941392,0.984331797235023,0.934057986034092,0.839868083547087,0.970612244897959,0.826520308200651,0.600409836065574,0.957446808510638,0.94300564817611,0.924647887323944,0.960515713134569,0.826520308200651
scater,0.975369458128079,0.970280682443588,0.977954463317673,0.97525309336333,0.94515306122449,0.984544934172868,0.966025378632829,0.874645892351275,0.972663699936427,0.959372772630078,0.813614262560778,0.968213604577241,0.926299456943367,0.785843920145191,0.939208748793824,0.966025378632829
valiDrops,0.971004450498775,0.959585790306343,0.980349344978166,0.970268666809045,0.954797317002042,0.985787379192723,0.953421896938208,0.949297495418448,0.959328599096191,0.944459262492847,0.933518005540166,0.951758481170246,0.918482147831527,0.892697466467958,0.943537859007833,0.953421896938208
manual_fixed_mito,0.91296614569263,0.824211204121056,0.979941002949853,0.912367149446384,0.818729096989967,0.983353884093711,0.913248052859533,0.834061135371179,0.971920867900447,0.905672109714883,0.815699658703072,0.967145790554415,0.906074354677936,0.836018957345972,0.945548197203826,0.912367149446384
manual_adaptive_mito,0.979708103727425,0.971444807501066,0.984144341170038,0.976014332726315,0.966298342541436,0.983476132190942,0.959435258395101,0.953077391834247,0.970727101038716,0.948645346515245,0.938718662952646,0.957066750235036,0.923885610746782,0.899622641509434,0.940683430045132,0.959435258395101
manual_mito_ribo,0.976893122580999,0.969671201814059,0.984462034593961,0.974638359069873,0.965402712427346,0.984685195689166,0.95599233765566,0.949029126213592,0.97007874015748,0.943336262280481,0.933701657458563,0.948599569098184,0.916947138811955,0.894029850746269,0.939642684693385,0.95599233765566
manual_mito_ribo_library,0.976588283350258,0.970333569907736,0.98264195351574,0.97455497762865,0.963822148577741,0.984685195689166,0.956190163817246,0.950519242516799,0.9694872601447,0.943963652715885,0.936111111111111,0.951758481170246,0.916602116967734,0.892697466467958,0.938736131210806,0.956190163817246
manual_library,0.832732078137975,0.413553431798436,0.982900943396226,0.860063103909033,0.504201680672269,0.980763358778626,0.906019446766591,0.700647249190939,0.969868173258004,0.956057688907411,0.941798941798942,0.969723562966213,0.933727877649447,0.920112781954887,0.94888178913738,0.906019446766591
manual_malat1,0.979128563572746,0.971590909090909,0.984144341170038,0.975979352139817,0.966121159919609,0.983757278577996,0.958923334395993,0.953488372093023,0.970421648835746,0.947675650384342,0.938718662952646,0.955298530790872,0.925656098105933,0.911450381679389,0.939945258412494,0.958923334395993
manual_malat1_mito_ribo,0.977054675393357,0.970488081725312,0.9844529187445,0.974638359069873,0.965402712427346,0.984685195689166,0.956343546266068,0.949029126213592,0.970384373030876,0.943421416153378,0.933701657458563,0.948745574880714,0.917287873120722,0.896035901271503,0.939340305711987,0.956343546266068
